energy,tempo,danceability,playlist_genre,loudness,liveness,valence,track_artist,time_signature,speechiness,track_popularity,track_href,uri,track_album_name,playlist_name,analysis_url,track_id,track_name,track_album_release_date,instrumentalness,track_album_id,mode,key,duration_ms,acousticness,id,playlist_subgenre,type,playlist_id
0.468,94.434,0.369,ambient,-9.013,0.109,0.18,Cigarettes After Sex,4,0.0273,87,https://api.spotify.com/v1/tracks/0yc6Gst2xkRu0eMLeRMGCX,spotify:track:0yc6Gst2xkRu0eMLeRMGCX,Cigarettes After Sex,Dark Academia,https://api.spotify.com/v1/audio-analysis/0yc6Gst2xkRu0eMLeRMGCX,0yc6Gst2xkRu0eMLeRMGCX,Apocalypse,2017.0,0.566,2mxFsS5yylSTHNivV53HoA,1,5,290617,0.0205,0yc6Gst2xkRu0eMLeRMGCX,academic,audio_features,6JH5nqQdmdNPuwEoCImWnj
0.545,159.94,0.545,r&b,-7.362,0.417,0.549,Frank Ocean,3,0.107,87,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Blonde,R&B Hits,https://api.spotify.com/v1/audio-analysis/3xKsf9qdS1CyvXSMEid6g8,3xKsf9qdS1CyvXSMEid6g8,Pink + White,2016.0,5.48e-05,3mH6qwIy9crq0I9YQbOuDf,1,9,184516,0.667,3xKsf9qdS1CyvXSMEid6g8,modern,audio_features,37i9dQZF1EQoqCH7BwIYb7
0.499,99.986,0.791,latin,-8.472,0.0899,0.669,"FloyyMenor, Cris Mj",4,0.0509,87,https://api.spotify.com/v1/tracks/6XjDF6nds4DE2BBbagZol6,spotify:track:6XjDF6nds4DE2BBbagZol6,Gata Only,Reggaeton Hits,https://api.spotify.com/v1/audio-analysis/6XjDF6nds4DE2BBbagZol6,6XjDF6nds4DE2BBbagZol6,Gata Only,2024.0,2.41e-05,5tSQtQGkrCJx3hoQxmLgfM,0,8,222000,0.446,6XjDF6nds4DE2BBbagZol6,reggaeton,audio_features,50RFc7X949cZs4CHZ4fPDe
0.725,130.504,0.633,pop,-4.257,0.205,0.64,Sabrina Carpenter,4,0.0427,87,https://api.spotify.com/v1/tracks/21B4gaTWnTkuSh77iWEXdS,spotify:track:21B4gaTWnTkuSh77iWEXdS,Short n' Sweet,Global Top 50,https://api.spotify.com/v1/audio-analysis/21B4gaTWnTkuSh77iWEXdS,21B4gaTWnTkuSh77iWEXdS,Juno,2024.0,0.0,3iPSVi54hsacKKl1xIR2eH,1,5,223192,0.0461,21B4gaTWnTkuSh77iWEXdS,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.586,107.015,0.675,pop,-6.086,0.104,0.621,Sabrina Carpenter,4,0.0531,87,https://api.spotify.com/v1/tracks/2tHwzyyOLoWSFqYNjeVMzj,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Short n' Sweet,Global Top 50,https://api.spotify.com/v1/audio-analysis/2tHwzyyOLoWSFqYNjeVMzj,2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,2024.0,0.0,3iPSVi54hsacKKl1xIR2eH,1,9,186365,0.257,2tHwzyyOLoWSFqYNjeVMzj,global,audio_features,37i9dQZEVXbMDoHDwVN2tF
0.783,103.001,0.705,latin,-4.783,0.0984,0.454,Kapo,4,0.0403,86,https://api.spotify.com/v1/tracks/5QjmUqgpPQgXgg4606DqZF,spotify:track:5QjmUqgpPQgXgg4606DqZF,UWAIE,Viva Latino,https://api.spotify.com/v1/audio-analysis/5QjmUqgpPQgXgg4606DqZF,5QjmUqgpPQgXgg4606DqZF,UWAIE,2024.0,0.0,5H7sO778w4hgr2v2600ajN,0,9,172427,0.138,5QjmUqgpPQgXgg4606DqZF,modern,audio_features,37i9dQZF1DX10zKzsJ2jva
0.709,81.012,0.722,pop,-4.95,0.0804,0.604,Shaboozey,4,0.0273,86,https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf,spotify:track:2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Today's Top Hits,https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf,2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),2024.0,0.0,6egBeCLeGITzGSo5VyRjwZ,1,9,171292,0.0633,2FQrifJ1N335Ljm3TjTVVf,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
0.652,95.977,0.825,pop,-3.183,0.0931,0.931,Ed Sheeran,4,0.0802,86,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,÷ (Deluxe),Soft Pop Hits,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,7qiZfU4dY1lWllzX7mPBI3,Shape of You,2017.0,0.0,3T4tUhGYeRNVUGevb0wThu,0,1,233713,0.581,7qiZfU4dY1lWllzX7mPBI3,soft,audio_features,37i9dQZF1DWTwnEm1IYyoj
0.448,95.05,0.599,pop,-6.312,0.106,0.168,Ed Sheeran,3,0.0232,86,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,÷ (Deluxe),Soft Pop Hits,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v,Perfect,2017.0,0.0,3T4tUhGYeRNVUGevb0wThu,1,8,263400,0.163,0tgVpDi06FyKpA1z0VMD4v,soft,audio_features,37i9dQZF1DWTwnEm1IYyoj
0.782,119.992,0.727,pop,-8.529,0.225,0.655,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4,0.042,86,https://api.spotify.com/v1/tracks/1BJJbSX6muJVF2AK7uH1x4,spotify:track:1BJJbSX6muJVF2AK7uH1x4,Move,Today's Top Hits,https://api.spotify.com/v1/audio-analysis/1BJJbSX6muJVF2AK7uH1x4,1BJJbSX6muJVF2AK7uH1x4,Move,2024.0,0.336,4M8ThNHbNjda2cPwL8XZHS,0,8,177599,0.0563,1BJJbSX6muJVF2AK7uH1x4,mainstream,audio_features,37i9dQZF1DXcBWIGoYBM5M
