energy,tempo,danceability,playlist_genre,loudness,liveness,valence,speechiness,track_popularity,track_name,track_album_release_date,instrumentalness,acousticness,id,type
0.646,176.088,0.756,latin,-5.795,0.108,0.429,0.319,82,LA CANCIÓN,2019.0,1.81e-05,0.152,0fea68AdmYNygeTGI4RC18,audio_features
0.578,199.997,0.734,latin,-4.147,0.113,0.88,0.295,82,Soltera - W Sound 01,2024.0,0.000242,0.155,13BDiikG6y5o5cQTK0HpW6,audio_features
0.327,91.05,0.775,pop,-7.241,0.0821,0.595,0.0557,82,Memories,2021.0,0.0,0.841,4cktbXiXOapiLBMprHFErI,audio_features
0.556,138.978,0.531,pop,-6.245,0.318,0.156,0.0252,82,Beanie,2023.0,0.00915,0.407,5e0b9LgOfi3aJSKXFcOWRe,audio_features
0.835,125.983,0.527,electronic,-5.298,0.249,0.654,0.0433,82,The Nights,2014.0,0.0,0.0166,0ct6r3EGTcMLPtrXHDvVjc,audio_features
0.603,97.994,0.712,pop,-5.52,0.115,0.67,0.0262,82,Fast Car,2023.0,0.0,0.186,1Lo0QY9cvc8sUB2vnIOxDT,audio_features
0.621,119.043,0.455,hip-hop,-7.694,0.123,0.28,0.0517,82,MY EYES,2023.0,2.59e-06,0.651,4kjI1gwQZRKNDkw1nI475M,audio_features
0.737,91.986,0.708,latin,-4.045,0.0955,0.607,0.0436,82,LALA,2023.0,0.00162,0.0739,7ABLbnD53cQK00mhcaOUVG,audio_features
0.668,90.969,0.646,pop,-5.203,0.212,0.64,0.0282,82,Belong Together,2024.0,0.0,0.491,5uQ7de4EWjb3rkcFxyEOpu,audio_features
0.563,105.008,0.833,pop,-5.593,0.139,0.343,0.204,82,Qué Pasaría...,2024.0,1.27e-05,0.528,0l0vcZMU7AOeQmUIREoI2U,audio_features
0.806,119.001,0.851,pop,-4.618,0.121,0.774,0.0787,81,Poker Face,2008.0,1.72e-06,0.119,1QV6tiMFM6fSOKOGLMHYYg,audio_features
0.861,119.963,0.663,pop,-3.398,0.082,0.654,0.109,81,DJ Got Us Fallin' In Love (feat. Pitbull),2010.0,0.0,0.0338,4356Typ82hUiFAynbLYbPn,audio_features
0.712,92.005,0.911,latin,-5.105,0.0933,0.425,0.0817,81,Me Porto Bonito,2022.0,2.68e-05,0.0901,6Sq7ltF9Qa7SNFBsV5Cogx,audio_features
0.574,111.881,0.459,pop,-4.857,0.0885,0.183,0.0577,81,Before You Go,2019.0,0.0,0.608,2gMXnyrvIjhVBUZwvLZDMP,audio_features
0.795,94.969,0.845,latin,-3.502,0.224,0.681,0.0681,81,DILUVIO,2023.0,1.78e-05,0.343,2kz1YOhJiNubjigR1gB1VX,audio_features
0.663,143.082,0.76,hip-hop,-4.763,0.305,0.209,0.0551,81,ALL RED,2024.0,0.0,0.109,2cZOYofOX4d6g0OXxkaIjA,audio_features
0.442,100.021,0.776,latin,-8.99,0.0723,0.838,0.0575,81,PELIGROSA,2024.0,1.31e-05,0.319,5PCGEfALcpGtURIuTqvX0R,audio_features
0.434,150.062,0.833,hip-hop,-8.795,0.165,0.281,0.431,81,Mask Off,2017.0,0.0219,0.0102,0VgkVdmE4gld66l8iyGjgx,audio_features
0.856,127.949,0.596,electronic,-3.556,0.141,0.743,0.0346,81,Summer,2014.0,0.0178,0.0211,6YUTL4dYpB9xZO5qExPf05,audio_features
0.648,96.888,0.633,pop,-6.645,0.161,0.49,0.062,81,Anti-Hero,2022.0,2.62e-06,0.121,0V3wPSX9ygBnCm8psDIegu,audio_features
0.57,129.953,0.734,hip-hop,-7.066,0.112,0.689,0.133,81,Everybody Dies In Their Nightmares,2017.0,2.14e-05,0.847,3GVkPk8mqxz0itaAriG1L7,audio_features
0.834,139.995,0.783,latin,-4.623,0.0903,0.92,0.029,81,No Son Doritos,2024.0,0.000212,0.539,2ss1LK5Kfnjo5EUaCbsgZM,audio_features
0.91,112.966,0.67,pop,-4.07,0.304,0.786,0.0634,81,Taste,2024.0,0.0,0.0939,1d7Ptw3qYcfpdLNL5REhtJ,audio_features
0.764,140.113,0.882,hip-hop,-5.241,0.119,0.886,0.204,81,BAND4BAND (feat. Lil Baby),2024.0,0.0,0.359,7iabz12vAuVQYyekFIWJxD,audio_features
0.445,78.998,0.781,pop,-6.061,0.184,0.591,0.0295,81,Thinking out Loud,2014.0,0.0,0.474,34gCuhDGsG4bRPIf9bb02f,audio_features
0.585,139.631,0.449,pop,-6.761,0.0833,0.212,0.0268,81,Paradise,2011.0,8.75e-05,0.0509,6nek1Nin9q48AVZcWs9e9D,audio_features
0.524,83.97,0.653,latin,-9.016,0.203,0.553,0.0502,81,telepatía,2020.0,0.0,0.112,6tDDoYIxWvMLTdKpjFkc1B,audio_features
0.73,155.008,0.834,hip-hop,-3.714,0.124,0.446,0.222,81,SICKO MODE,2018.0,0.0,0.00513,2xLMifQCjDGFmkHkpNLD9h,audio_features
